date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:27	27262/27262	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:26%20+0000	http://old.nordicosenadopcion.com/anuncio/1228	old.nordicosenadopcion.com/anuncio/1228.html	(from http://old.nordicosenadopcion.com/)
11:30:27	7923/7923	---M--	200	added ('OK')	image/jpeg	etag:%2259199054=1ef3%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/18471131_10211952154094794_1012565893_n.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/18471131_10211952154094794_1012565893_n.jpg	(from http://old.nordicosenadopcion.com/)
11:30:29	28752/28752	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:28%20+0000	http://old.nordicosenadopcion.com/anuncio/1229	old.nordicosenadopcion.com/anuncio/1229.html	(from http://old.nordicosenadopcion.com/)
11:30:29	10553/10553	---M--	200	added ('OK')	image/jpeg	etag:%2259256b02=2939%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/duna2.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/duna2.jpg	(from http://old.nordicosenadopcion.com/)
11:30:31	26095/26095	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:26:53%20+0000	http://old.nordicosenadopcion.com/anuncio/1234	old.nordicosenadopcion.com/anuncio/1234.html	(from http://old.nordicosenadopcion.com/)
11:30:35	26108/26108	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:26:52%20+0000	http://old.nordicosenadopcion.com/anuncio/1235	old.nordicosenadopcion.com/anuncio/1235.html	(from http://old.nordicosenadopcion.com/)
11:30:37	73200/73200	---M--	200	added ('OK')	image/png	etag:%225919a9c4=11df0%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/sharpa.png	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/sharpa.png	(from http://old.nordicosenadopcion.com/)
11:30:39	25220/25220	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:26:50%20+0000	http://old.nordicosenadopcion.com/anuncio/1236	old.nordicosenadopcion.com/anuncio/1236.html	(from http://old.nordicosenadopcion.com/)
11:30:40	12932/12932	---M--	200	added ('OK')	image/jpeg	etag:%22591ae15b=3284%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/betty%20y%20laika%204%20a%c3%b1os.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/betty%20y%20laika%204%20a%c3%b1os.jpg	(from http://old.nordicosenadopcion.com/)
11:30:43	25949/25949	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:26:49%20+0000	http://old.nordicosenadopcion.com/anuncio/1237	old.nordicosenadopcion.com/anuncio/1237.html	(from http://old.nordicosenadopcion.com/)
